seed,dp_enabled,clip_norm,noise_multiplier,test_acc,attack_auc,attack_ap,attack_acc,attack_f1,client_bytes_total,client_bytes_avg,aggregate_bytes
1,False,0.0,0.0,0.6601746070123413,0.9974659357549307,0.9755542493216118,0.9850745293318479,0.9266026876160793,74644240.0,7464424.0,7464424.0
1,True,0.25,0.0,0.657645324453922,0.9983880962411321,0.9846291337683166,0.9898064466416422,0.9492428898664048,74644240.0,7464424.0,7464424.0
1,True,0.25,0.0025,0.6590403410490476,0.9966593895799816,0.9785472839714553,0.9922041866882669,0.9631103646408924,74644240.0,7464424.0,7464424.0
1,True,0.25,0.005,0.661814550594557,0.9911498879213099,0.967653611265708,0.9864649172343858,0.9384746159353762,74644240.0,7464424.0,7464424.0
1,True,0.25,0.01,0.6473650517211436,0.9393062075927103,0.8489297916796061,0.9532054209132437,0.7754230698458144,74644240.0,7464424.0,7464424.0
1,True,0.25,0.02,0.5919087637212493,0.8050001038623765,0.5150184920519664,0.89502083405861,0.47930081975045613,74644240.0,7464424.0,7464424.0
1,True,0.5,0.0,0.6594609925615778,0.9982425356338018,0.9826840132929219,0.9898048367063861,0.9487432028729099,74644240.0,7464424.0,7464424.0
1,True,0.5,0.0025,0.6500430118582576,0.9939807725262538,0.9725923646885217,0.987536174514022,0.9409495532787346,74644240.0,7464424.0,7464424.0
1,True,0.5,0.005,0.6588054705855723,0.9405329387043878,0.8561548926473004,0.9575724972443318,0.8007592150073611,74644240.0,7464424.0,7464424.0
1,True,0.5,0.01,0.6516999477984706,0.7846320991856506,0.4786593373656845,0.880953136944842,0.42280026480508875,74644240.0,7464424.0,7464424.0
1,True,0.5,0.02,0.6199312798784127,0.6174936360784327,0.21393614947951495,0.8370008353284867,0.1976283926922922,74644240.0,7464424.0,7464424.0
1,True,1.0,0.0,0.6692112101281695,0.9985329486864503,0.9833705105742752,0.9905121475570147,0.9556332258479641,74644240.0,7464424.0,7464424.0
1,True,1.0,0.0025,0.6587071077114905,0.9586719094138154,0.8612650200855363,0.958025483939811,0.8022601914937576,74644240.0,7464424.0,7464424.0
1,True,1.0,0.005,0.6659638202688448,0.7903082654434526,0.47684640318781435,0.8844872193048617,0.42250541347020576,74644240.0,7464424.0,7464424.0
1,True,1.0,0.01,0.6451502803893358,0.5837014346126237,0.1687023489814488,0.8353305708112234,0.17483724204852436,74644240.0,7464424.0,7464424.0
1,True,1.0,0.02,0.5907496228066156,0.5177604263499922,0.1122381662493521,0.82137964195961,0.09555069765362084,74644240.0,7464424.0,7464424.0
