seed,train_epochs,noise_multiplier,dp_enabled,clip_norm,test_acc,mse,cosine_sim,feat_corr,dlg_iters
1,10,0.0,False,0.0,0.22382820946347254,0.04373042285442352,0.0013692291686311364,0.053332172736624106,300
1,10,0.005,True,1.0,0.2064861788868014,0.04553576186299324,0.0024098078720271587,0.05126247736214438,300
1,10,0.01,True,1.0,0.2069534489236278,0.052141185849905014,0.002390089677646756,0.04988924416612283,300
1,10,0.02,True,1.0,0.19938040943223234,0.0561780147254467,0.004310759715735912,0.05112292507721651,300
1,10,0.05,True,1.0,0.20276514357336267,0.06303074210882187,3.5552511690184474e-06,0.0482177735006911,300
1,30,0.0,False,0.0,0.2608784593455248,0.07810129225254059,0.012269256636500359,0.057073935531829545,300
1,30,0.005,True,1.0,0.22391510737481535,0.04551677033305168,0.006316340062767267,0.054431106245379744,300
1,30,0.01,True,1.0,0.22123735704650255,0.053725529462099075,0.003859203541651368,0.05013049239461235,300
1,30,0.02,True,1.0,0.2101265457988466,0.05867321789264679,-0.0005160252330824733,0.05025389761898894,300
1,30,0.05,True,1.0,0.2135513976680955,0.06661950796842575,1.4126184396445751e-05,0.048140185447099054,300
1,100,0.0,False,0.0,0.34379389359859924,0.04871702566742897,0.012693130411207676,0.05297785084372358,300
1,100,0.005,True,1.0,0.2301024904783012,0.0663316547870636,0.0038712050300091505,0.05730059670737258,300
1,100,0.01,True,1.0,0.22236210378733545,0.05900634452700615,5.763648368883878e-05,0.051672112482512994,300
1,100,0.02,True,1.0,0.23001357927414529,0.06936097890138626,0.002600552514195442,0.048350798697177205,300
1,100,0.05,True,1.0,0.2142711835809062,0.06864789873361588,-0.00041792166302911937,0.0504530192984488,300
2,10,0.0,False,0.0,0.23066373126230377,0.044362422078847885,0.003996239043772221,0.05277702555037831,300
2,10,0.005,True,1.0,0.20600840779815685,0.0472889244556427,0.00307447905652225,0.055839405474677896,300
2,10,0.01,True,1.0,0.20123472565692613,0.05129450559616089,-0.0005465999711304903,0.053640368440545344,300
2,10,0.02,True,1.0,0.2117128688212178,0.05736364424228668,0.0067589920945465565,0.054554843428351006,300
2,10,0.05,True,1.0,0.21548992760567798,0.06558070331811905,0.001296723261475563,0.05355100220118034,300
2,30,0.0,False,0.0,0.2590787579576646,0.04928753897547722,0.006585334427654743,0.05382303624370935,300
2,30,0.005,True,1.0,0.22194703967099028,0.04619887098670006,0.005460931919515133,0.05696095519378978,300
2,30,0.01,True,1.0,0.2210957304880082,0.0538918599486351,0.0008701072074472904,0.05498224207364946,300
2,30,0.02,True,1.0,0.21399148606945143,0.05826224759221077,0.0020434006582945585,0.055431803107814266,300
2,30,0.05,True,1.0,0.20665048126934596,0.06501505523920059,0.003058990929275751,0.05434925554929422,300
2,100,0.0,False,0.0,0.3565402644791517,0.08175107091665268,0.010040012188255787,0.058039896557612304,300
2,100,0.005,True,1.0,0.23872171985668522,0.05754304304718971,0.007534402422606945,0.05112773902538894,300
2,100,0.01,True,1.0,0.24707476614099558,0.060498010367155075,0.0018876713002100587,0.05371442955408151,300
2,100,0.02,True,1.0,0.23042592476295912,0.0648978129029274,0.0030358294025063515,0.05466750338474749,300
2,100,0.05,True,1.0,0.2138499686748876,0.06848612427711487,-0.0007026381208561361,0.05208231782953641,300
3,10,0.0,False,0.0,0.22902087396077017,0.043674588203430176,-0.00030044870800338686,0.050741615215650064,300
3,10,0.005,True,1.0,0.22339602880143886,0.04250382259488106,0.0007644600118510425,0.049902351341869454,300
3,10,0.01,True,1.0,0.23087225004958647,0.051949892193078995,-0.0006015738472342491,0.051138120520634434,300
3,10,0.02,True,1.0,0.21099075184849514,0.058010127395391464,0.003366838674992323,0.05050160394794777,300
3,10,0.05,True,1.0,0.19357702693606238,0.06642555445432663,0.0016180581878870726,0.04992319227358119,300
3,30,0.0,False,0.0,0.2594790079442356,0.08036533743143082,0.01454233843833208,0.050212747276900394,300
3,30,0.005,True,1.0,0.23239798748969615,0.04443703964352608,0.002474122680723667,0.052574475535487705,300
3,30,0.01,True,1.0,0.2225347847453219,0.05443236231803894,-0.0013401845935732126,0.050613417395046024,300
3,30,0.02,True,1.0,0.2253437564464112,0.0596284382045269,0.002471648156642914,0.05156106462707675,300
3,30,0.05,True,1.0,0.21220078886366744,0.06601618975400925,-0.00012352853082120419,0.050301896392147966,300
3,100,0.0,False,0.0,0.32479420757157584,0.056476593017578125,0.00675438204780221,0.047497952800757026,300
3,100,0.005,True,1.0,0.2406193883103868,0.04551184922456741,0.005514837801456451,0.052982356212231775,300
3,100,0.01,True,1.0,0.23036532785921804,0.060749515891075134,0.0021508524660021067,0.04944953975975794,300
3,100,0.02,True,1.0,0.22791087264207358,0.0720096230506897,9.83704230748117e-05,0.051381708290248206,300
3,100,0.05,True,1.0,0.22898142692887788,0.08131169527769089,-0.004413172602653503,0.05106718115496373,300
