dataset,train_epochs,noise_multiplier,test_acc_mean,test_acc_std,mse_mean,mse_std,cosine_sim_mean,cosine_sim_std,feat_corr_mean,feat_corr_std
Amazon-ratings,10,0.0,0.32687823534234106,0.012858854718068526,0.05401320258776343,0.004921030392447197,0.012141858848432633,0.0032435087017553964,0.015810468014233366,0.000984824133962484
Amazon-ratings,10,0.005,0.3660159735332038,0.00042793887720060696,0.04030263920625047,0.00039620432129404334,-0.003933399139593,0.0008488829674289897,0.016597818264979535,0.0005611884268360251
Amazon-ratings,10,0.01,0.35649840451273623,0.00540221530208651,0.042325266947348866,0.0005295846485587705,-0.0025555668786788666,0.001549353847401616,0.0162995959396093,0.0006069296156678456
Amazon-ratings,10,0.02,0.3662869425214585,4.38744467109683e-05,0.04650960241754843,0.000811208767665071,-0.0034856564210106003,1.8965882093695937e-05,0.015607422658856432,0.0008905729434685447
Amazon-ratings,10,0.05,0.36625276002589796,4.298407801995655e-05,0.052895476420720365,0.00046540182190015465,-0.0006614900582159333,0.0011037210237564016,0.015763229562789197,0.0012819750734947308
Amazon-ratings,30,0.0,0.38250013819156314,0.004844397120390791,0.047998733818531,0.0017580855250988105,-0.003792302644190667,0.0022803300843361853,0.0157473924628339,0.0007834255769293831
Amazon-ratings,30,0.005,0.33518339736783914,0.008038077466039677,0.04183236633737877,4.636952146722076e-05,0.003792293020524067,0.002760664178983029,0.015280198986027968,0.0007718723263873049
Amazon-ratings,30,0.01,0.3531031879214179,0.002413084854016723,0.04262355963389073,0.0012354458784569337,-0.0006367732809546,0.0014454435177337144,0.015626098619984898,0.00038759320576463096
Amazon-ratings,30,0.02,0.364390904308858,0.000914799579540097,0.048273794353008236,0.0015078446688942526,-0.0018689379212446001,0.0021846927325795784,0.016278115816855367,0.00037565079189901825
Amazon-ratings,30,0.05,0.3652319200748623,0.000734663986675966,0.060073113689819935,0.0007594569856530183,-0.0016474068397655667,0.0009770908984327153,0.016220608806447333,0.0010159875019318228
Amazon-ratings,100,0.0,0.3732305823547104,0.003547301011285306,0.04168347393472984,0.0008023511998039083,-0.007533104314158333,0.004278606390834936,0.0160619134047054,0.000651860801116273
Amazon-ratings,100,0.005,0.28959844654927,0.0027200415524653017,0.04447218279043827,0.0007268564681451508,0.0088873794302344,0.003066702247821991,0.016293820355334367,0.00036047338591695013
Amazon-ratings,100,0.01,0.3023358677104792,0.00328519831734113,0.04443468153476713,0.0010740639036739288,0.0046681426465511,0.0007509611544710029,0.0163543476713571,0.0007555674436737628
Amazon-ratings,100,0.02,0.33906594905680837,0.0073739554963121534,0.050781394044558135,0.0006509232123090899,0.0006903311198887334,0.0008439107638566983,0.01614123865672,0.0010768099281620606
Amazon-ratings,100,0.05,0.36156183052247287,0.0006006347727408788,0.0742382978399594,0.002073011451278579,-0.001353740381697787,0.0012655627981023772,0.016445496315172035,0.0005358803385259542
CiteSeer,10,0.0,0.6563427054372056,0.013857173829775913,0.0550093737741311,0.0041014452689683316,0.008049929514527267,0.0017944433297779358,0.0433215812606434,0.0017336659281535982
CiteSeer,10,0.005,0.5548843259073762,0.02737377961832888,0.055947737147410664,0.006383412260498029,0.011023038377364432,0.0008444373958899881,0.045217738850941665,0.0017014731445587456
CiteSeer,10,0.01,0.46565046903485335,0.054508061655813504,0.06016659860809637,0.0021797417088548292,0.008653569190452466,0.0018722886758412748,0.04329896655553787,0.0012731646647161582
CiteSeer,10,0.02,0.3711141188258626,0.06843602472774842,0.0707196543614069,0.0008031854724391703,0.0046334906946867,0.0012427861537204152,0.04068669982276667,0.0005993527565807347
CiteSeer,10,0.05,0.28543503811347226,0.04006686375434049,0.07231797774632766,0.002133641994302335,0.0012526412804921,0.0009284054473806696,0.040837925399188964,0.0010317912893933621
CiteSeer,30,0.0,0.6579840360979149,0.0002844460924748817,0.0620706292490164,0.0028898276808785083,0.007093570971240567,0.001909114447634201,0.04327077404755623,0.0006852951647007932
CiteSeer,30,0.005,0.6582892653209008,0.003080591767794116,0.062357537448406164,0.002074336871317736,0.0052177558342615,0.001833441780260427,0.04261812845864454,0.001377140951985467
CiteSeer,30,0.01,0.6415381235525038,0.00876652884207978,0.06175620481371877,0.0025462319272857273,0.006711143379410066,0.001008946834223308,0.04356785251782907,0.0008164720487585149
CiteSeer,30,0.02,0.5869830256025104,0.04353387764595124,0.07544771333535506,0.003927082068135271,0.0036961444032688334,0.0014749951922959775,0.04092743579864044,0.001372869645803005
CiteSeer,30,0.05,0.4087214455278731,0.06348902690096452,0.08614336699247356,0.007535922242423888,0.0011381689691915668,0.0011870185103430814,0.039075003394089036,0.000433646956420864
CiteSeer,100,0.0,0.6741259764745949,0.0012638644509474768,0.06615990648667014,0.0010767650207803832,0.0066420435905456,0.0019719232933614133,0.0426186813996404,0.0008145953492868853
CiteSeer,100,0.005,0.6627273396241283,0.0027179592818185965,0.07414025068283074,0.004264683138321681,0.0057405177503824,0.0010495138018444925,0.04100856720690547,0.0012324310697663307
CiteSeer,100,0.01,0.6558652932712447,0.010145848918737883,0.0712530563275019,0.002884039790338608,0.004488615008691867,0.0006373872151938727,0.04067472827184344,0.0008446768158672171
CiteSeer,100,0.02,0.6438919669663831,0.0077701017043669785,0.0733732531468073,0.007663543900085811,0.003893281022707567,0.0002705173751868339,0.040857179646583336,0.0006431998049481086
CiteSeer,100,0.05,0.6104166498285486,0.012112503910614622,0.10006168236335117,0.00452947529440496,0.002009827837658421,0.0018797328300025238,0.03900373237371743,0.00022416925410131936
Cora,10,0.0,0.5431874121815803,0.020885735264780866,0.08386655896902084,0.023275804447309627,0.0137589455892642,0.004578991030583892,0.04785261308834857,0.0006874241240869865
Cora,10,0.005,0.4247436432643867,0.03464815471850112,0.06184076145291323,0.0038615169726911205,0.0076044886372983,0.0032404353567455366,0.048293303253360335,0.0033926762099774016
Cora,10,0.01,0.36541561414783424,0.05034570548447393,0.06410711010297133,0.0007983618789270455,0.010435194708406868,0.0038218173655496716,0.04931030723346037,0.0020459354002086362
Cora,10,0.02,0.33732413457443355,0.04557865505115554,0.07729568580786383,0.0026170123911416748,0.005302452171842233,0.00016151923797621506,0.046083700748026236,0.0004639387573879823
Cora,10,0.05,0.29319789766135435,0.008288424169527318,0.08891194313764567,0.003603328338742849,0.002602083142846767,0.0010428812753802883,0.04340236681460683,0.00118040867868959
Cora,30,0.0,0.750084266440731,0.007541388420571414,0.0547858315209547,0.002008215050196327,0.011254326129953035,0.0027544328608478308,0.049612876729179,0.0005779293684696902
Cora,30,0.005,0.5566571548852588,0.0265428374766921,0.06586692233880358,0.0044121289194484535,0.009353569243103233,0.0031215225250053767,0.046269965917455934,0.0003148554604043086
Cora,30,0.01,0.5399848161102926,0.027580761558695606,0.0676509340604146,0.002353916025922623,0.006444780932118434,0.0023789088651918443,0.0485398428773496,0.0021974521276861463
Cora,30,0.02,0.49181970923126533,0.045814818394859375,0.08177173882722849,0.0033390187013890424,0.0027270818051571334,0.0017321467935944605,0.045028386953330966,0.001767603762545186
Cora,30,0.05,0.33754048239878104,0.03302295461845429,0.10267346352338787,0.0031991182402367484,0.0018751805279558665,0.001977858836375761,0.0434505623187639,0.0022824381160464653
Cora,100,0.0,0.8135505968687395,0.008447355715738574,0.054669722914695705,0.0026102270934853186,0.008555213299890299,0.0008428873263849811,0.048753771780990496,0.001024850669762985
Cora,100,0.005,0.5375214463190631,0.026610535054820562,0.06743958592414855,0.001299202866385132,0.004900820708523134,0.0011493457967776052,0.04660693885265219,0.0012894067756417163
Cora,100,0.01,0.5217347251831869,0.017361950095361376,0.07164026796817774,0.002391574201848607,0.005945289197067333,0.0007905307672276031,0.04586087907397146,0.0017652943748593416
Cora,100,0.02,0.537700833911411,0.013627325689243224,0.08559122184912356,0.010563818569043057,0.004552931990474434,0.002548859569671997,0.0446992762862057,0.0010400732245841704
Cora,100,0.05,0.477541927653601,0.03132038622231923,0.12030898282925284,0.014495292436354307,0.0023015118592107967,0.0027667518995843545,0.0430033097728407,0.0022742033090387827
Photo,10,0.0,0.8121759806167587,0.007319222841663358,0.39596031109491986,0.013331488690879176,0.008868613901237601,0.0026003640315265864,0.03546663257875254,0.001309588793058196
Photo,10,0.005,0.44076080443942206,0.007634152687346268,0.390065203110377,0.010694868611173395,0.0023548646519581337,0.008459889671887072,0.03467429985599737,0.003247654937429166
Photo,10,0.01,0.43551642915651945,0.0034975802898378114,0.39214741190274555,0.01227483063783681,0.002985924327125167,0.006263421165073765,0.028920460546695833,0.00038776860393494587
Photo,10,0.02,0.35946223903325647,0.03540014322860921,0.4026987651983897,0.011959139079457209,0.0006004166789353001,0.002920329130427595,0.031315157477814465,0.001158733887714446
Photo,10,0.05,0.29470876287660824,0.027041088180250146,0.4083478848139445,0.011765045508363645,0.0012611924127364667,0.0005725818253483789,0.03358952319994097,0.0019887463102139964
Photo,30,0.0,0.8484280083979397,0.011767861877919294,0.40508608023325604,0.017092368835321708,0.0106726561983426,0.0045317094081497936,0.0334896293779886,0.0038919325116966454
Photo,30,0.005,0.8108863735198973,0.0019947180300536513,0.3997254470984141,0.006744422142104761,0.0038702385500073333,0.0058922510168106755,0.0336918244559511,0.0035492728317088633
Photo,30,0.01,0.6245381209949004,0.053269929226965,0.40103089809417725,0.016218811673010595,-0.003178380313329366,0.002253008263865724,0.031019522558653565,0.0007701491088283589
Photo,30,0.02,0.44859370785990565,0.0017493890515419385,0.40651123722394306,0.009753369679683096,0.0020998890201250667,0.009524130165246947,0.03134697168931953,0.0007789455400489756
Photo,30,0.05,0.4248994277570242,0.007500886546858847,0.4213637709617615,0.01571466842847023,0.0023646577416608335,0.004514700475111038,0.0344296610598245,0.0005304459199909074
Photo,100,0.0,0.9180346661663265,0.0018764741908719289,0.42289066314697266,0.04633571542088161,0.009567783136541566,0.008897829129743264,0.037162368931941296,0.00804394188798716
Photo,100,0.005,0.8432877121901461,0.0017220275031080772,0.40556739767392475,0.009812967910568132,0.010618430872758199,0.0004073772242318174,0.0349987124180409,0.0015559568805095507
Photo,100,0.01,0.8385438765315968,0.0023159414544477847,0.41592763861020404,0.010749380402091004,0.0021215065692861664,0.008355407315594567,0.03757064308611194,0.0019496077348559958
Photo,100,0.02,0.8241016956637887,0.0063809817906074874,0.4366363783677419,0.009026065373047589,0.0013563703396357334,0.0019677197743318887,0.0338256560500875,0.0011719245601444232
