dataset,train_epochs,noise_multiplier,test_acc,mse,cosine_sim,feat_corr
CiteSeer,100,0.0,0.6741 +- 0.0013,0.0662 +- 0.0011,0.0066 +- 0.0020,0.0426 +- 0.0008
CiteSeer,100,0.005,0.6627 +- 0.0027,0.0741 +- 0.0043,0.0057 +- 0.0010,0.0410 +- 0.0012
CiteSeer,100,0.01,0.6559 +- 0.0101,0.0713 +- 0.0029,0.0045 +- 0.0006,0.0407 +- 0.0008
CiteSeer,100,0.02,0.6439 +- 0.0078,0.0734 +- 0.0077,0.0039 +- 0.0003,0.0409 +- 0.0006
CiteSeer,100,0.05,0.6104 +- 0.0121,0.1001 +- 0.0045,0.0020 +- 0.0019,0.0390 +- 0.0002
Cora,100,0.0,0.8136 +- 0.0084,0.0547 +- 0.0026,0.0086 +- 0.0008,0.0488 +- 0.0010
Cora,100,0.005,0.5375 +- 0.0266,0.0674 +- 0.0013,0.0049 +- 0.0011,0.0466 +- 0.0013
Cora,100,0.01,0.5217 +- 0.0174,0.0716 +- 0.0024,0.0059 +- 0.0008,0.0459 +- 0.0018
Cora,100,0.02,0.5377 +- 0.0136,0.0856 +- 0.0106,0.0046 +- 0.0025,0.0447 +- 0.0010
Cora,100,0.05,0.4775 +- 0.0313,0.1203 +- 0.0145,0.0023 +- 0.0028,0.0430 +- 0.0023
PubMed,100,0.0,0.8189 +- 0.0082,0.0378 +- 0.0011,-0.0015 +- 0.0021,0.0175 +- 0.0009
PubMed,100,0.005,0.8415 +- 0.0035,0.0547 +- 0.0008,0.0050 +- 0.0024,0.0199 +- 0.0007
PubMed,100,0.01,0.8432 +- 0.0038,0.0619 +- 0.0035,0.0058 +- 0.0002,0.0185 +- 0.0006
PubMed,100,0.02,0.8408 +- 0.0007,0.0724 +- 0.0051,0.0063 +- 0.0004,0.0195 +- 0.0005
PubMed,100,0.05,0.8241 +- 0.0044,0.0799 +- 0.0088,0.0033 +- 0.0011,0.0183 +- 0.0014
chameleon,100,0.0,0.3417 +- 0.0160,0.0623 +- 0.0173,0.0098 +- 0.0030,0.0528 +- 0.0053
chameleon,100,0.005,0.2365 +- 0.0056,0.0565 +- 0.0105,0.0056 +- 0.0018,0.0538 +- 0.0032
chameleon,100,0.01,0.2333 +- 0.0126,0.0601 +- 0.0009,0.0014 +- 0.0011,0.0516 +- 0.0021
chameleon,100,0.02,0.2295 +- 0.0013,0.0688 +- 0.0036,0.0019 +- 0.0016,0.0515 +- 0.0032
chameleon,100,0.05,0.2190 +- 0.0086,0.0728 +- 0.0074,-0.0018 +- 0.0022,0.0512 +- 0.0008
