dataset,train_epochs,noise_multiplier,test_acc,mse,cosine_sim,feat_corr
Amazon-ratings,10,0.0,0.3269 +- 0.0129,0.0540 +- 0.0049,0.0121 +- 0.0032,0.0158 +- 0.0010
Amazon-ratings,10,0.005,0.3660 +- 0.0004,0.0403 +- 0.0004,-0.0039 +- 0.0008,0.0166 +- 0.0006
Amazon-ratings,10,0.01,0.3565 +- 0.0054,0.0423 +- 0.0005,-0.0026 +- 0.0015,0.0163 +- 0.0006
Amazon-ratings,10,0.02,0.3663 +- 0.0000,0.0465 +- 0.0008,-0.0035 +- 0.0000,0.0156 +- 0.0009
Amazon-ratings,10,0.05,0.3663 +- 0.0000,0.0529 +- 0.0005,-0.0007 +- 0.0011,0.0158 +- 0.0013
Amazon-ratings,30,0.0,0.3825 +- 0.0048,0.0480 +- 0.0018,-0.0038 +- 0.0023,0.0157 +- 0.0008
Amazon-ratings,30,0.005,0.3352 +- 0.0080,0.0418 +- 0.0000,0.0038 +- 0.0028,0.0153 +- 0.0008
Amazon-ratings,30,0.01,0.3531 +- 0.0024,0.0426 +- 0.0012,-0.0006 +- 0.0014,0.0156 +- 0.0004
Amazon-ratings,30,0.02,0.3644 +- 0.0009,0.0483 +- 0.0015,-0.0019 +- 0.0022,0.0163 +- 0.0004
Amazon-ratings,30,0.05,0.3652 +- 0.0007,0.0601 +- 0.0008,-0.0016 +- 0.0010,0.0162 +- 0.0010
Amazon-ratings,100,0.0,0.3732 +- 0.0035,0.0417 +- 0.0008,-0.0075 +- 0.0043,0.0161 +- 0.0007
Amazon-ratings,100,0.005,0.2896 +- 0.0027,0.0445 +- 0.0007,0.0089 +- 0.0031,0.0163 +- 0.0004
Amazon-ratings,100,0.01,0.3023 +- 0.0033,0.0444 +- 0.0011,0.0047 +- 0.0008,0.0164 +- 0.0008
Amazon-ratings,100,0.02,0.3391 +- 0.0074,0.0508 +- 0.0007,0.0007 +- 0.0008,0.0161 +- 0.0011
Amazon-ratings,100,0.05,0.3616 +- 0.0006,0.0742 +- 0.0021,-0.0014 +- 0.0013,0.0164 +- 0.0005
CiteSeer,10,0.0,0.6563 +- 0.0139,0.0550 +- 0.0041,0.0080 +- 0.0018,0.0433 +- 0.0017
CiteSeer,10,0.005,0.5549 +- 0.0274,0.0559 +- 0.0064,0.0110 +- 0.0008,0.0452 +- 0.0017
CiteSeer,10,0.01,0.4657 +- 0.0545,0.0602 +- 0.0022,0.0087 +- 0.0019,0.0433 +- 0.0013
CiteSeer,10,0.02,0.3711 +- 0.0684,0.0707 +- 0.0008,0.0046 +- 0.0012,0.0407 +- 0.0006
CiteSeer,10,0.05,0.2854 +- 0.0401,0.0723 +- 0.0021,0.0013 +- 0.0009,0.0408 +- 0.0010
CiteSeer,30,0.0,0.6580 +- 0.0003,0.0621 +- 0.0029,0.0071 +- 0.0019,0.0433 +- 0.0007
CiteSeer,30,0.005,0.6583 +- 0.0031,0.0624 +- 0.0021,0.0052 +- 0.0018,0.0426 +- 0.0014
CiteSeer,30,0.01,0.6415 +- 0.0088,0.0618 +- 0.0025,0.0067 +- 0.0010,0.0436 +- 0.0008
CiteSeer,30,0.02,0.5870 +- 0.0435,0.0754 +- 0.0039,0.0037 +- 0.0015,0.0409 +- 0.0014
CiteSeer,30,0.05,0.4087 +- 0.0635,0.0861 +- 0.0075,0.0011 +- 0.0012,0.0391 +- 0.0004
CiteSeer,100,0.0,0.6741 +- 0.0013,0.0662 +- 0.0011,0.0066 +- 0.0020,0.0426 +- 0.0008
CiteSeer,100,0.005,0.6627 +- 0.0027,0.0741 +- 0.0043,0.0057 +- 0.0010,0.0410 +- 0.0012
CiteSeer,100,0.01,0.6559 +- 0.0101,0.0713 +- 0.0029,0.0045 +- 0.0006,0.0407 +- 0.0008
CiteSeer,100,0.02,0.6439 +- 0.0078,0.0734 +- 0.0077,0.0039 +- 0.0003,0.0409 +- 0.0006
CiteSeer,100,0.05,0.6104 +- 0.0121,0.1001 +- 0.0045,0.0020 +- 0.0019,0.0390 +- 0.0002
Cora,10,0.0,0.5432 +- 0.0209,0.0839 +- 0.0233,0.0138 +- 0.0046,0.0479 +- 0.0007
Cora,10,0.005,0.4247 +- 0.0346,0.0618 +- 0.0039,0.0076 +- 0.0032,0.0483 +- 0.0034
Cora,10,0.01,0.3654 +- 0.0503,0.0641 +- 0.0008,0.0104 +- 0.0038,0.0493 +- 0.0020
Cora,10,0.02,0.3373 +- 0.0456,0.0773 +- 0.0026,0.0053 +- 0.0002,0.0461 +- 0.0005
Cora,10,0.05,0.2932 +- 0.0083,0.0889 +- 0.0036,0.0026 +- 0.0010,0.0434 +- 0.0012
